brand,all_vegan,partial_vegan,bad_parent_company,black_owned,ulta,sephora,beauty_bay,cult_beauty,nordstrom
100% pure,False,False,False,False,0,0,0,0,0
100bon,True,False,False,False,0,0,0,0,0
1121 apothecary,True,False,False,False,0,0,0,0,0
21 drops,True,False,False,False,0,0,0,0,0
2b,False,False,False,False,0,0,0,0,0
2nd kind,True,False,False,False,0,0,0,0,0
"7 virtues, the",True,False,False,False,0,1,0,0,0
8 greens,False,False,False,False,0,1,0,0,0
a girl’s gotta spa,True,False,False,False,0,0,0,0,0
abba pure performance hair care,False,False,True,False,0,0,0,0,0
ag hair,False,False,False,False,1,0,0,0,0
ag hair cosmetics,False,False,False,False,0,0,0,0,0
aila cosmetics,True,False,False,False,0,0,0,0,0
auric,False,False,False,False,0,0,0,0,0
ayres,True,False,False,False,0,0,0,0,0
azature,True,False,False,False,0,0,0,0,0
about face,True,False,False,False,0,0,0,0,0
ace beaute,False,False,False,True,0,0,0,0,0
acid-2-alkaline,True,False,False,False,0,0,0,0,0
activist skincare,True,False,False,False,0,0,0,0,0
acure,True,False,False,False,1,0,0,0,0
adorn cosmetics,True,False,False,False,0,0,0,0,0
adwoa beauty,False,False,False,False,0,1,0,0,0
aether lashes,True,False,False,False,0,0,0,0,0
aeva beauty,False,False,False,True,0,0,0,0,0
afrocenchix,True,False,False,True,0,0,0,0,0
ageless derma,False,False,False,False,0,0,0,0,0
ahimsa naturals,True,False,False,False,0,0,0,0,0
ainhoa cosmetics,False,False,False,False,0,0,0,0,0
akamai,True,False,False,False,0,0,0,0,0
alaska glacial mud co.,False,False,False,False,0,0,0,0,0
alba botanica,False,False,False,False,0,0,0,0,0
aldi,False,False,False,False,0,0,0,0,0
alexami,False,False,False,False,0,0,0,0,0
alima pure,False,False,False,False,0,0,0,0,1
"all natural face, the",True,False,False,False,0,0,0,0,0
all terrain,False,False,False,False,0,0,0,0,0
alma botanicals,False,False,False,False,0,0,0,0,0
alo glow system,True,False,False,False,0,0,0,0,0
alpyn beauty,False,False,False,False,0,1,0,0,0
ambre blends,False,False,False,False,0,0,0,0,0
amika,False,False,False,False,0,1,0,0,0
amopé,False,False,False,False,1,0,0,0,0
anastasia beverly hills,False,False,False,False,1,1,1,1,1
andalou naturals,False,False,False,False,1,0,0,0,0
anita grant,False,False,False,True,0,0,0,0,0
annabelle minerals,False,False,False,False,0,0,0,0,0
annmarie gianni skin care,False,False,False,False,0,0,0,0,0
antipodes,False,False,False,False,0,0,0,0,0
antonym,False,False,False,False,0,1,0,0,1
antonym cosmetics,False,False,False,False,0,0,0,0,0
apoterra skincare,False,False,False,False,0,0,0,0,0
apothecary 90291,False,False,False,False,0,0,0,0,0
aquis,False,False,False,False,1,1,0,0,1
arbonne,True,False,False,False,0,0,0,0,0
arctic fox,True,False,False,False,1,0,0,0,0
ardell,False,False,False,False,1,0,1,0,0
"argan tree, the",False,False,False,False,0,0,0,0,0
ariana grande fragrances,False,False,False,False,0,0,0,0,0
aromi,True,False,False,False,0,0,0,0,0
art naturals,False,False,False,False,1,0,0,0,0
aster + bay,False,False,False,False,0,0,0,0,0
astonish cleaning products,True,False,False,False,0,0,0,0,0
athar’a,True,False,False,False,0,0,0,0,0
athena club,False,False,False,False,0,0,0,0,0
athr beauty (formerly aether beauty),True,False,False,False,0,1,0,0,0
au naturale,True,False,False,False,1,0,0,0,0
aubrey organics,False,False,False,False,0,0,0,0,0
aunt fannie’s,False,False,False,False,0,0,0,0,0
aura cacia,False,False,False,False,0,0,0,0,0
auromere,False,False,False,False,0,0,0,0,0
authentic beauty concept,True,False,False,False,0,0,0,0,0
avalon organics,False,False,False,False,0,0,0,0,0
aveda,True,False,True,False,0,1,0,0,1
awake beauty,False,False,True,False,1,0,0,0,0
axiology,True,False,False,False,1,0,0,0,1
aya natural,True,False,False,False,0,0,0,0,0
azelique cosmetics,True,False,False,False,0,0,0,0,0
b. by superdrug,False,False,False,False,0,0,0,0,0
bh cosmetics,False,False,False,False,1,0,0,0,0
bybi beauty,True,False,False,False,0,0,0,0,0
babo botanicals,False,False,False,False,1,0,0,0,0
babyliss,False,False,False,False,0,0,0,0,0
bach original flower remedies,False,False,False,False,0,0,0,0,0
baiser beauty,False,False,False,False,0,0,0,0,0
balanced guru,False,False,False,False,0,0,0,0,0
balm balm,False,False,False,False,0,0,0,0,0
"balm, the",False,False,False,False,0,1,0,0,0
bare bones body care,True,False,False,False,0,0,0,0,0
bare republic,False,False,False,False,0,0,0,0,0
barefaced beauty,False,False,False,False,0,0,0,0,0
barely cosmetics,True,False,False,False,0,0,0,0,0
barry m,False,False,False,False,0,0,0,0,0
bask & co,True,False,False,False,0,0,0,0,0
bask suncare,True,False,False,False,0,0,0,0,0
"bath, body, candle moments",False,False,False,False,0,0,0,0,0
bdellium tools,False,False,False,False,0,0,1,0,0
beast,False,False,False,False,1,0,0,0,0
beautisol,True,False,False,False,0,0,0,0,0
beauty bakerie,False,False,False,True,1,0,0,0,0
beauty bay,False,False,False,False,0,0,0,0,0
beauty by stony,False,False,False,True,0,0,0,0,0
"beauty chef, the",False,False,False,False,0,1,1,1,0
beauty without cruelty,True,False,False,False,0,0,0,0,0
beauty by earth,False,False,False,False,0,0,0,0,0
beautystat cosmetics,False,False,False,True,0,0,0,0,0
beautycounter,False,False,False,False,0,0,0,0,0
bedrock & bloom,True,False,False,False,0,0,0,0,0
bella mari,True,False,False,False,0,0,0,0,0
bellapierre,False,False,False,False,0,0,0,0,0
ben nye makeup,False,False,False,False,0,0,0,0,0
besamé cosmetics,False,False,False,False,0,0,0,0,0
biconi,False,False,False,False,0,0,0,0,0
bili beauty,True,False,False,False,0,0,0,0,0
billie,True,False,False,False,0,0,0,0,0
bio follicle,True,False,False,False,0,0,0,0,0
bio ionic,False,False,False,False,1,1,0,1,1
bioclarity,True,False,False,False,1,0,0,0,0
biokleen,True,False,False,False,0,0,0,0,0
biom,False,False,False,False,0,0,0,0,0
bite beauty,True,False,False,False,0,1,0,0,0
black dahlia lacquer,True,False,False,False,0,0,0,0,0
black moon cosmetics,True,False,False,False,0,0,0,0,0
black phoenix alchemy lab,False,False,False,False,0,0,0,0,0
blackbird cosmetics,True,False,False,False,0,0,0,0,0
blinc,False,False,False,False,0,1,1,0,0
bliss,False,False,False,False,1,0,0,0,0
blissoma,False,False,False,False,0,0,0,0,0
blu ink nail lacquer,True,False,False,False,0,0,0,0,0
blue beautifly,True,False,False,False,0,0,0,0,0
blue labelle,True,False,False,False,0,0,0,0,0
"body shop, the",False,False,False,False,1,0,0,0,0
"bold brand, the",False,False,False,True,0,0,0,0,0
bon ami,False,False,False,False,0,0,0,0,0
bonne belle,False,False,False,False,0,0,0,0,0
borika body,True,False,False,False,0,0,0,0,0
boscia,False,False,False,False,1,1,0,0,0
bossy cosmetics (bossy lipstick),False,False,False,True,0,0,0,0,0
botanic organic,False,False,False,False,0,0,0,0,0
box naturals,True,False,False,False,0,0,0,0,0
brianna’s handmade soap,True,False,False,False,0,0,0,0,0
bright planet,False,False,False,False,0,0,0,0,0
briogeo,False,False,True,False,1,0,0,1,0
bronze buffer,True,False,False,False,0,0,0,0,0
buddha beauty,True,False,False,False,0,0,0,0,0
bulldog skincare for men,True,False,False,False,0,0,0,0,0
burke & hare co,True,False,False,False,0,0,0,0,0
burst oral care,True,False,False,False,0,0,0,0,0
burt’s bees,False,False,True,False,1,1,0,0,0
buxom,False,False,True,False,1,1,0,0,1
bye bye parabens,True,False,False,False,0,0,0,0,0
chi,False,False,False,False,0,0,0,0,0
clove + hallow,True,False,False,False,0,0,0,0,0
coola suncare,False,True,False,False,0,0,0,1,0
coola,False,True,False,False,1,1,0,0,1
core cosmetics,False,False,False,False,0,0,0,0,0
corpus,True,False,False,False,0,0,0,0,0
correxiko,False,False,False,False,0,0,0,0,0
cover fx,True,False,False,False,1,1,1,1,0
covergirl,False,False,True,False,1,0,0,0,0
crux supply co,False,False,False,False,0,0,0,0,0
curoxen,False,False,False,False,0,0,0,0,0
cadia,False,False,False,False,0,0,0,0,0
cailyn cosmetics,False,False,False,False,0,0,0,0,0
caitlin’s super natural,True,False,False,False,0,0,0,0,0
cake beauty,True,False,False,False,1,0,0,0,0
caldrea,False,False,True,False,0,0,0,0,0
caley cosmetics,False,False,False,False,0,0,0,0,0
caroline’s dream,False,False,False,False,0,0,0,0,0
cate mcnabb,False,False,False,False,0,0,0,0,0
cedar + stone,True,False,False,False,0,0,0,0,0
ceremonia,True,False,False,False,0,0,0,0,0
certain dri,True,False,True,False,0,0,0,0,0
charlotte tilbury,False,True,False,False,0,1,0,1,1
"cheeky panda, the",True,False,False,False,0,0,0,0,0
chella,False,False,False,False,0,0,0,0,0
"chemistry brand, the",False,False,True,False,0,0,0,0,0
christy organics,True,False,False,False,0,0,0,0,0
ciaté london,False,False,False,False,0,1,0,0,0
clarria cosmetics,False,False,False,False,0,0,0,0,0
clutch nails,True,False,False,False,0,0,0,0,0
coco & eve,False,False,False,False,0,0,0,0,0
cocokind,False,False,False,False,1,0,0,0,0
cocoon apothecary,True,False,False,False,0,0,0,0,0
cocovit,False,False,False,False,0,0,0,0,0
color club,True,False,False,False,0,0,0,0,0
colorproof,True,False,False,False,0,0,0,0,0
colorevolution,False,False,False,False,0,0,0,0,0
colourpop,False,False,False,False,1,0,0,0,0
coloured raine,False,True,False,False,0,0,1,0,0
coloured raine cosmetics,False,False,False,True,0,0,0,0,0
conair,False,False,False,False,1,0,0,0,0
concrete minerals,True,False,False,False,0,0,0,0,0
conscious skincare,False,False,False,False,0,0,0,0,0
cora,False,False,False,False,0,0,0,0,0
counter culture clean,True,False,False,False,0,0,0,0,0
cowshed,False,False,False,False,0,0,0,0,0
crazy rumors,True,False,False,False,0,0,0,0,0
creature cosmetics,True,False,False,False,0,0,0,0,0
crispy brows,False,False,False,False,0,0,0,0,0
crystal body deodorant,True,False,False,False,0,0,0,0,0
demes/demes natural products,True,False,False,False,0,0,0,0,0
dn-unik,True,False,False,False,0,0,0,0,0
dsmd shop,False,False,False,True,0,0,0,0,0
duo,False,False,False,False,0,1,0,0,0
dahliana naturals,True,False,False,False,0,0,0,0,0
daisy blue naturals,False,False,False,False,0,0,0,0,0
devita,True,False,False,False,0,0,0,0,0
dear dahlia,True,False,False,False,0,0,0,0,0
dear self,False,False,False,False,0,0,0,0,0
deborah lippmann,False,False,False,False,0,1,0,0,1
deciem,False,False,False,False,0,0,0,0,0
deco miami,True,False,False,False,0,0,0,0,0
defineme fragrance,True,False,False,False,1,0,0,0,0
dehiya,True,False,False,True,0,0,0,0,0
delectable,True,False,False,False,0,0,0,0,0
delight beauty,True,False,False,False,0,0,0,0,0
dermorganic,True,False,False,False,0,0,0,0,0
derma e,True,False,False,False,1,0,0,0,0
dermablend,False,False,True,False,1,0,0,0,0
dermablend professional,False,False,True,False,0,0,0,0,0
dermalogica,False,False,True,False,1,1,0,0,1
desert essence,False,False,False,False,0,0,0,0,0
devacurl,False,False,True,False,1,1,0,0,1
dickinson brands,False,False,False,False,0,0,0,0,0
dimension nails,True,False,False,True,0,0,0,0,0
dirt don’t hurt me,True,False,False,True,0,0,0,0,0
doctor rogers restore,True,False,False,False,0,0,0,0,0
dose of colors,False,False,False,False,0,0,1,0,0
dr. bronner’s,False,False,False,False,0,0,0,0,0
dr. hauschka,False,False,False,False,0,0,0,0,0
dr. roebuck’s,False,False,False,False,1,1,0,1,0
drainbo,False,False,False,False,0,0,0,0,0
drunk elephant,False,False,True,False,0,1,0,1,0
drybar,False,False,False,False,1,1,0,0,1
duwop cosmetics,False,False,False,False,0,0,0,0,0
eco minerals,True,False,False,False,0,0,0,0,0
elf (eyes lips face/e.l.f.),True,False,False,False,1,0,0,0,0
enjoy professional hair care,False,False,False,False,0,0,0,0,0
eo products,False,False,False,False,0,0,0,0,0
eos,False,False,False,False,1,0,0,0,0
eos (evolution of smooth),False,False,False,False,0,0,0,0,0
evohe,True,False,False,False,0,0,0,0,0
evolvh,False,False,False,False,0,0,0,0,0
earth friendly products (ecos),False,False,False,False,0,0,0,0,0
earth harbor naturals,False,False,False,False,0,0,0,0,0
earth science naturals,False,False,False,False,0,0,0,0,0
earth tu face,False,False,False,False,0,0,0,0,0
earthwise beauty,False,False,False,False,0,0,0,0,0
ecco bella,False,False,False,False,0,0,0,0,0
eco lips,False,False,False,False,0,0,0,0,0
eco tan,False,False,False,False,0,0,0,0,0
eco tools,True,False,False,False,1,0,0,0,0
eco-dent,False,False,False,False,0,0,0,0,0
elate clean cosmetics,True,False,False,False,0,0,0,0,0
elixery,True,False,False,False,0,0,0,0,0
elizabeth mott,False,False,False,False,0,0,0,0,0
ella + mila,False,False,False,False,1,0,0,0,0
ellis faas,False,False,False,False,0,0,0,0,0
ellovi,True,False,False,False,0,0,0,0,0
elysian nail lacquer,True,False,False,False,0,0,0,0,0
